,日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
12471,2021-04-10,竹叶菜,8.16,12.0,4.141,13.62
12473,2021-04-10,紫茄子(2),6.18,10.0,15.385,6.07
12477,2021-04-10,红薯尖,11.86,18.0,4.656000000000001,8.42
12478,2021-04-10,芜湖青椒(1),3.91,6.0,58.05,5.7
12479,2021-04-10,苋菜,5.69,9.0,8.901,18.52
12480,2021-04-10,菜心,4.0,7.0,3.1670000000000003,13.7
12481,2021-04-10,菠菜,4.26,6.0,9.415,18.51
12483,2021-04-10,螺丝椒,3.36,5.6,13.351,10.18
12485,2021-04-10,西兰花,6.52,8.0,28.438,9.26
12492,2021-04-10,青茄子(1),4.92,8.0,3.295,5.01
12494,2021-04-10,高瓜(1),6.58,14.0,1.338,29.25
12497,2021-04-11,上海青,3.74,6.0,30.422,14.43
12499,2021-04-11,云南油麦菜,4.06,8.0,11.454,12.81
12500,2021-04-11,云南生菜,4.6,7.0,21.082,15.25
12501,2021-04-11,净藕(1),7.32,11.0,15.993,5.54
12505,2021-04-11,奶白菜,3.23,6.0,6.488,15.68
12507,2021-04-11,娃娃菜,4.02,5.9,14.0,2.48
12514,2021-04-11,白玉菇(袋),3.22,7.9,4.0,6.57
12515,2021-04-11,竹叶菜,8.35,14.0,6.494,13.62
12516,2021-04-11,紫茄子(2),6.22,10.0,20.714,6.069999999999999
12520,2021-04-11,红薯尖,11.97,18.0,4.135,8.42
12522,2021-04-11,芜湖青椒(1),4.19,6.0,66.878,5.7
12523,2021-04-11,苋菜,5.84,10.0,13.722,18.52
12524,2021-04-11,菜心,4.0,7.0,3.955,13.7
12525,2021-04-11,菠菜,4.29,6.0,9.033,18.51
12527,2021-04-11,螺丝椒,3.32,5.6,12.744,10.18
12528,2021-04-11,西兰花,6.5,8.0,21.373,9.26
12535,2021-04-11,青茄子(1),3.92,8.0,1.041,5.01
12536,2021-04-11,高瓜(1),6.580000000000001,14.0,2.203,29.25
12540,2021-04-12,上海青,3.74,6.0,17.727,14.43
12542,2021-04-12,云南油麦菜,4.06,8.0,15.888,12.81
12543,2021-04-12,云南生菜,4.6,7.0,16.767,15.25
12544,2021-04-12,净藕(1),7.32,10.0,3.056,5.54
12548,2021-04-12,奶白菜,3.2,6.0,4.315,15.68
12550,2021-04-12,娃娃菜,4.04,5.9,4.0,2.48
12556,2021-04-12,白玉菇(袋),3.11,7.9,5.0,6.57
12557,2021-04-12,竹叶菜,8.23,14.0,3.626,13.62
12558,2021-04-12,紫茄子(2),6.25,8.0,7.518,6.070000000000001
12562,2021-04-12,红薯尖,11.67,16.0,4.876,8.42
12565,2021-04-12,芜湖青椒(1),4.09,6.0,15.82,5.7
12566,2021-04-12,苋菜,6.03,9.0,8.511,18.52
12567,2021-04-12,菜心,4.0,7.0,4.128,13.7
12568,2021-04-12,菠菜,4.31,6.0,5.136,18.51
12571,2021-04-12,螺丝椒,3.28,5.6,10.447,10.18
12572,2021-04-12,西兰花,6.5,10.0,16.374,9.26
12579,2021-04-12,高瓜(1),6.58,14.0,1.122,29.25
12583,2021-04-13,上海青,3.74,6.0,15.437,14.43
12585,2021-04-13,云南油麦菜,4.62,8.0,6.214,12.81
12586,2021-04-13,云南生菜,4.6,7.0,8.916,15.25
12587,2021-04-13,净藕(1),7.32,10.0,4.519,5.54
12589,2021-04-13,圆茄子(2),5.23,9.0,1.258,6.71
12592,2021-04-13,奶白菜,3.2,6.0,1.906,15.68
12594,2021-04-13,娃娃菜,4.04,5.9,8.0,2.48
12601,2021-04-13,白玉菇(袋),2.9599999999999995,5.900000000000001,3.0,6.57
12602,2021-04-13,竹叶菜,8.8,12.0,4.242,13.62
12603,2021-04-13,紫茄子(2),5.97,8.0,8.547,6.07
12607,2021-04-13,红薯尖,10.17,16.0,2.829,8.42
12609,2021-04-13,芜湖青椒(1),4.41,6.0,32.195,5.7
12610,2021-04-13,苋菜,4.1,6.0,15.114,18.52
12611,2021-04-13,菠菜,4.3,6.0,4.968,18.51
12613,2021-04-13,螺丝椒,3.07,4.0,11.736,10.18
12614,2021-04-13,西兰花,6.15,9.0,16.204,9.26
12622,2021-04-13,青茄子(1),5.53,8.0,1.88,5.01
12623,2021-04-13,高瓜(1),7.67,12.0,1.034,29.25
12627,2021-04-14,上海青,3.74,6.0,14.95,14.43
12629,2021-04-14,云南油麦菜,4.68,8.0,5.778,12.81
12630,2021-04-14,云南生菜,4.6,7.0,15.964,15.25
12631,2021-04-14,净藕(1),7.309999999999999,10.0,11.253,5.54
12636,2021-04-14,奶白菜,3.2,6.0,7.527,15.68
12637,2021-04-14,娃娃菜,3.85,5.9,9.0,2.48
12640,2021-04-14,木耳菜,8.24,4.0,1.607,7.61
12646,2021-04-14,白玉菇(袋),2.96,5.9,1.0,6.57
12647,2021-04-14,竹叶菜,7.08,11.0,3.762,13.62
12649,2021-04-14,紫茄子(2),5.96,8.0,12.971,6.07
12653,2021-04-14,红薯尖,10.83,16.0,3.267,8.42
12655,2021-04-14,芜湖青椒(1),4.63,6.0,28.417,5.7
12656,2021-04-14,苋菜,3.14,6.0,9.114,18.52
12657,2021-04-14,菜心,4.1,7.0,4.069,13.7
12658,2021-04-14,菠菜,4.27,6.0,9.599,18.51
12661,2021-04-14,螺丝椒,3.6,5.0,6.767,10.18
12663,2021-04-14,西兰花,6.12,9.0,17.995,9.26
12670,2021-04-14,青茄子(1),5.2,8.0,1.153,5.01
12671,2021-04-14,高瓜(1),7.18,12.0,0.944,29.25
12675,2021-04-15,上海青,3.78,6.0,16.457,14.429999999999998
12677,2021-04-15,云南油麦菜,4.68,8.0,7.931999999999999,12.81
12678,2021-04-15,云南生菜,4.6,7.0,13.644,15.25
12679,2021-04-15,净藕(1),7.22,10.0,11.104,5.54
12682,2021-04-15,圆茄子(2),5.18,8.0,0.827,6.71
12685,2021-04-15,奶白菜,2.82,4.6,2.861,15.68
12687,2021-04-15,娃娃菜,3.85,5.9,7.0,2.48
12694,2021-04-15,白玉菇(袋),2.96,5.9,4.0,6.57
12695,2021-04-15,竹叶菜,7.08,9.0,1.148,13.62
12697,2021-04-15,紫茄子(2),5.43,8.0,4.049,6.07
12701,2021-04-15,红薯尖,10.63,16.0,2.823,8.42
12702,2021-04-15,芜湖青椒(1),4.69,6.0,26.874,5.7
12703,2021-04-15,苋菜,2.83,4.6,9.63,18.52
12704,2021-04-15,菜心,4.08,7.0,3.138,13.7
12705,2021-04-15,菠菜,5.04,8.0,6.956,18.51
12708,2021-04-15,螺丝椒,3.73,6.0,6.605,10.18
12709,2021-04-15,西兰花,6.31,9.0,13.81,9.26
12716,2021-04-15,青茄子(1),5.18,8.0,1.09,5.01
12718,2021-04-15,高瓜(1),6.94,12.0,0.994,29.25
12723,2021-04-16,上海青,3.87,6.0,10.334,14.43
12725,2021-04-16,云南油麦菜,4.68,7.0,8.697000000000001,12.81
12726,2021-04-16,云南生菜,4.6,7.0,13.741,15.25
12727,2021-04-16,净藕(1),7.2,10.0,10.531,5.54
12730,2021-04-16,圆茄子(2),3.16,8.0,0.326,6.71
12733,2021-04-16,奶白菜,2.6,4.6,3.494,15.68
12734,2021-04-16,娃娃菜,3.84,5.9,2.0,2.48
12737,2021-04-16,木耳菜,8.35,14.0,1.223,7.61
12743,2021-04-16,白玉菇(袋),3.06,5.900000000000001,6.0,6.57
12744,2021-04-16,竹叶菜,6.91,8.0,5.138,13.62
12745,2021-04-16,紫茄子(2),5.39,8.0,6.894,6.070000000000001
12748,2021-04-16,红薯尖,10.6,16.0,0.726,8.42
12750,2021-04-16,芜湖青椒(1),4.69,5.6,29.198,5.7
12751,2021-04-16,苋菜,2.7900000000000005,4.0,10.302,18.52
12752,2021-04-16,菜心,4.1,7.0,3.655,13.7
12753,2021-04-16,菠菜,4.7,8.0,3.473,18.51
12757,2021-04-16,螺丝椒,5.09,6.0,14.516,10.18
12759,2021-04-16,西兰花,6.08,9.0,13.521,9.26
12766,2021-04-16,青茄子(1),5.25,9.0,2.139,5.01
12767,2021-04-16,高瓜(1),5.5,12.0,1.487,29.25
12771,2021-04-17,上海青,3.87,6.0,21.943,14.43
12773,2021-04-17,云南油麦菜,4.68,7.0,11.707,12.81
12774,2021-04-17,云南生菜,4.74,7.0,31.493,15.25
12775,2021-04-17,净藕(1),7.2,10.0,14.89,5.54
12778,2021-04-17,圆茄子(2),2.35,8.0,1.955,6.71
12781,2021-04-17,奶白菜,2.6,4.6,5.46,15.68
12784,2021-04-17,娃娃菜,3.83,5.9,8.0,2.48
12792,2021-04-17,白玉菇(袋),3.1,5.9,4.0,6.57
12793,2021-04-17,竹叶菜,5.27,8.0,7.532,13.62
12794,2021-04-17,紫茄子(2),5.39,8.0,11.493,6.07
12798,2021-04-17,红薯尖,10.6,16.0,3.962,8.42
12800,2021-04-17,芜湖青椒(1),4.67,5.6,4.194,5.700000000000001
12801,2021-04-17,苋菜,2.77,4.0,15.125,18.52
12802,2021-04-17,菜心,4.1,7.0,5.101,13.699999999999998
12803,2021-04-17,菠菜,4.71,8.0,7.51,18.51
12806,2021-04-17,螺丝椒,4.48,6.0,9.416,10.18
12808,2021-04-17,西兰花,6.08,9.0,35.618,9.26
12815,2021-04-17,青茄子(1),5.4,9.0,4.934,5.01
12817,2021-04-17,高瓜(1),5.74,12.0,2.412,29.25
12821,2021-04-18,上海青,4.01,6.0,9.617,14.43
12823,2021-04-18,云南油麦菜,4.66,7.0,20.762,12.81
12824,2021-04-18,云南生菜,4.76,7.0,29.202,15.25
12825,2021-04-18,净藕(1),7.2,10.0,11.093,5.54
12827,2021-04-18,圆茄子(2),3.16,8.0,4.375,6.71
12830,2021-04-18,奶白菜,2.36,4.0,7.739,15.68
12833,2021-04-18,娃娃菜,3.85,5.9,17.0,2.48
12841,2021-04-18,白玉菇(袋),3.14,4.9,4.0,6.57
12842,2021-04-18,竹叶菜,5.27,8.0,4.449,13.62
12843,2021-04-18,紫茄子(2),5.36,8.0,9.226,6.07
12847,2021-04-18,红薯尖,10.6,16.0,4.149,8.42
12849,2021-04-18,芜湖青椒(1),4.47,5.2,79.583,5.7
12850,2021-04-18,苋菜,2.73,4.0,15.83,18.52
12851,2021-04-18,菜心,4.12,7.0,7.237,13.7
12852,2021-04-18,菠菜,4.68,8.0,3.599,18.51
12856,2021-04-18,螺丝椒,4.51,8.0,19.012,10.18
12858,2021-04-18,西兰花,6.08,9.0,23.343,9.260000000000002
12865,2021-04-18,青茄子(1),5.4,9.0,1.648,5.01
12867,2021-04-18,高瓜(1),5.849999999999999,12.0,1.144,29.25
12871,2021-04-19,上海青,4.06,6.0,12.425,14.43
12873,2021-04-19,云南油麦菜,4.5,7.0,7.064,12.81
12874,2021-04-19,云南生菜,4.76,7.0,14.201,15.25
12875,2021-04-19,净藕(1),7.2,10.0,6.655,5.54
12878,2021-04-19,圆茄子(2),4.15,8.0,1.229,6.71
12881,2021-04-19,奶白菜,1.8000000000000005,4.0,4.9,15.68
12883,2021-04-19,娃娃菜,3.86,5.900000000000001,6.0,2.48
12891,2021-04-19,白玉菇(袋),2.87,4.9,1.0,6.57
12892,2021-04-19,竹叶菜,5.24,6.0,6.457,13.62
12893,2021-04-19,紫茄子(2),5.28,8.0,10.277,6.07
12897,2021-04-19,红薯尖,10.6,16.0,2.279,8.42
12899,2021-04-19,芜湖青椒(1),4.21,6.0,30.569,5.7
12900,2021-04-19,苋菜,2.56,4.0,12.212,18.52
12901,2021-04-19,菜心,4.13,7.0,4.756,13.7
12902,2021-04-19,菠菜,4.62,8.0,5.889,18.51
12905,2021-04-19,螺丝椒,5.08,7.0,8.256,10.18
12906,2021-04-19,西兰花,5.989999999999999,9.0,10.014,9.26
12913,2021-04-19,青茄子(1),5.4,9.0,0.568,5.01
12915,2021-04-19,高瓜(1),5.94,12.0,1.003,29.25
12919,2021-04-20,上海青,4.06,6.0,7.408,14.43
12921,2021-04-20,云南油麦菜,4.44,7.0,10.218,12.81
12922,2021-04-20,云南生菜,4.68,7.0,17.238,15.25
12923,2021-04-20,净藕(1),7.2,10.0,10.332,5.54
12926,2021-04-20,圆茄子(2),4.13,6.599999999999999,1.93,6.71
12929,2021-04-20,奶白菜,1.8,3.0,10.407,15.679999999999998
12930,2021-04-20,娃娃菜,3.82,5.9,4.0,2.48
12937,2021-04-20,白玉菇(袋),2.88,4.9,2.0,6.57
12938,2021-04-20,竹叶菜,4.83,6.0,15.219,13.62
12939,2021-04-20,紫茄子(2),5.11,7.0,5.229,6.07
12943,2021-04-20,红薯尖,10.6,16.0,3.934,8.42
12945,2021-04-20,芜湖青椒(1),4.2,6.0,42.696,5.7
12946,2021-04-20,苋菜,2.58,3.4,17.811,18.52
12947,2021-04-20,菜心,4.14,7.0,7.491,13.7
12948,2021-04-20,菠菜,4.44,8.0,3.2840000000000003,18.51
12951,2021-04-20,螺丝椒,5.05,8.0,10.362,10.18
12952,2021-04-20,西兰花,5.98,8.0,16.655,9.26
12959,2021-04-20,青茄子(1),5.400000000000001,9.0,3.184,5.01
12961,2021-04-20,高瓜(1),5.94,12.0,0.835,29.25
12965,2021-04-21,上海青,4.06,6.0,9.248,14.43
12967,2021-04-21,云南油麦菜,4.38,6.0,10.988,12.81
12968,2021-04-21,云南生菜,4.64,7.0,19.044,15.25
12969,2021-04-21,净藕(1),7.2,10.0,12.076,5.54
12974,2021-04-21,奶白菜,1.57,2.0,17.381,15.68
12976,2021-04-21,娃娃菜,3.86,5.9,7.0,2.48
12984,2021-04-21,白玉菇(袋),2.88,4.9,2.0,6.57
12985,2021-04-21,竹叶菜,4.23,6.0,11.571,13.62
12986,2021-04-21,紫茄子(2),4.75,6.0,17.128,6.07
12989,2021-04-21,芜湖青椒(1),4.12,6.0,34.1,5.7
12990,2021-04-21,苋菜,2.56,3.4,16.568,18.52
12991,2021-04-21,菜心,4.13,7.0,3.2960000000000003,13.7
12992,2021-04-21,菠菜,4.43,8.0,6.444,18.51
12995,2021-04-21,螺丝椒,5.11,8.0,7.995999999999999,10.18
12996,2021-04-21,西兰花,5.77,8.0,19.398,9.26
13003,2021-04-21,青茄子(1),5.400000000000001,9.0,2.828,5.01
13004,2021-04-21,高瓜(1),6.08,12.0,1.002,29.25
13008,2021-04-22,上海青,4.06,6.0,9.348,14.43
13010,2021-04-22,云南油麦菜,4.4,6.0,10.601,12.81
13011,2021-04-22,云南生菜,4.5,7.0,16.037,15.25
13012,2021-04-22,净藕(1),7.200000000000001,10.0,10.311,5.54
13013,2021-04-22,圆茄子(2),4.05,6.6,4.149,6.71
13016,2021-04-22,奶白菜,1.4,2.0,12.077,15.68
13018,2021-04-22,娃娃菜,3.86,5.9,7.0,2.48
13027,2021-04-22,白玉菇(袋),2.92,4.9,2.0,6.57
13028,2021-04-22,竹叶菜,4.21,6.0,10.233,13.62
13029,2021-04-22,紫茄子(2),4.05,6.0,3.98,6.07
13032,2021-04-22,红薯尖,10.55,16.0,4.343999999999999,8.42
13034,2021-04-22,芜湖青椒(1),4.03,6.0,25.972,5.7
13035,2021-04-22,苋菜,2.54,3.4,22.427,18.52
13036,2021-04-22,菜心,4.11,7.0,2.164,13.7
13037,2021-04-22,菠菜,4.42,8.0,5.027,18.51
13040,2021-04-22,螺丝椒,5.23,8.0,13.046,10.18
13042,2021-04-22,西兰花,5.44,8.0,12.096,9.26
13049,2021-04-22,青茄子(1),5.400000000000001,9.0,2.561,5.01
13050,2021-04-22,高瓜(1),6.18,12.0,1.329,29.25
13055,2021-04-23,上海青,4.09,6.0,6.84,14.43
13057,2021-04-23,云南油麦菜,4.43,7.0,5.374,12.81
13058,2021-04-23,云南生菜,4.53,7.0,20.348,15.25
13059,2021-04-23,净藕(1),7.2,10.0,9.17,5.54
13061,2021-04-23,圆茄子(2),4.11,6.599999999999999,2.37,6.71
13064,2021-04-23,奶白菜,1.3999999999999997,2.0,22.636,15.68
13066,2021-04-23,娃娃菜,3.85,5.9,4.0,2.48
13073,2021-04-23,白玉菇(袋),2.88,4.9,5.0,6.57
13074,2021-04-23,竹叶菜,4.13,5.0,17.092,13.62
13075,2021-04-23,紫茄子(2),4.1,6.0,15.976,6.07
13078,2021-04-23,红薯尖,10.4,16.0,6.216,8.42
13080,2021-04-23,芜湖青椒(1),4.07,6.0,26.595,5.7
13081,2021-04-23,苋菜,2.57,3.4,11.747,18.52
13082,2021-04-23,菜心,3.93,7.0,5.947,13.7
13083,2021-04-23,菠菜,4.41,8.0,7.507,18.51
13087,2021-04-23,螺丝椒,5.29,8.0,11.216,10.18
13089,2021-04-23,西兰花,5.18,6.0,27.577,9.259999999999998
13096,2021-04-23,青茄子(1),5.400000000000001,9.0,3.4530000000000003,5.01
13098,2021-04-23,高瓜(1),6.2,10.0,1.243,29.25
13102,2021-04-24,上海青,4.08,6.0,8.815,14.43
13104,2021-04-24,云南油麦菜,4.32,7.0,10.358,12.81
13105,2021-04-24,云南生菜,4.24,7.0,21.953,15.25
13106,2021-04-24,净藕(1),7.2,10.0,15.544,5.54
13109,2021-04-24,圆茄子(2),4.04,6.6,0.821,6.71
13112,2021-04-24,奶白菜,1.4,2.0,12.281,15.68
13114,2021-04-24,娃娃菜,3.36,5.9,13.0,2.48
13122,2021-04-24,白玉菇(袋),2.88,4.9,10.0,6.57
13123,2021-04-24,竹叶菜,4.03,5.0,30.026,13.62
13124,2021-04-24,紫茄子(2),4.35,6.0,20.487,6.07
13128,2021-04-24,红薯尖,10.0,16.0,6.404,8.42
13130,2021-04-24,芜湖青椒(1),4.15,6.0,54.921,5.7
13131,2021-04-24,苋菜,2.8,4.0,35.954,18.52
13132,2021-04-24,菜心,3.72,7.0,10.793,13.699999999999998
13133,2021-04-24,菠菜,4.44,8.0,15.505,18.51
13137,2021-04-24,螺丝椒,5.56,8.0,29.035,10.18
13138,2021-04-24,西兰花,3.21,3.8,72.387,9.26
13145,2021-04-24,青茄子(1),5.29,7.0,4.556,5.01
13147,2021-04-24,高瓜(1),5.9,10.0,1.634,29.25
13151,2021-04-25,上海青,4.06,6.0,12.657,14.43
13153,2021-04-25,云南油麦菜,4.38,7.0,10.963,12.81
13154,2021-04-25,云南生菜,4.24,7.0,19.117,15.25
13155,2021-04-25,净藕(1),7.2,10.0,10.923,5.54
13157,2021-04-25,圆茄子(2),4.02,6.6,1.109,6.71
13160,2021-04-25,奶白菜,1.4,2.0,7.325,15.68
13161,2021-04-25,娃娃菜,3.85,5.9,11.0,2.48
13167,2021-04-25,白玉菇(袋),2.92,4.9,4.0,6.57
13168,2021-04-25,竹叶菜,4.14,5.0,26.288,13.619999999999996
13169,2021-04-25,紫茄子(2),4.39,7.0,12.978,6.07
13173,2021-04-25,红薯尖,10.0,16.0,7.26,8.42
13175,2021-04-25,芜湖青椒(1),4.11,6.0,35.924,5.7
13176,2021-04-25,苋菜,2.88,4.0,22.966,18.52
13177,2021-04-25,菜心,3.5,6.0,9.399,13.7
13178,2021-04-25,菠菜,4.42,8.0,6.858,18.51
13182,2021-04-25,螺丝椒,5.6,8.0,16.116,10.18
13184,2021-04-25,西兰花,2.64,3.8,65.618,9.26
13191,2021-04-25,青茄子(1),4.73,8.0,2.757,5.01
13193,2021-04-25,高瓜(1),5.900000000000001,10.0,0.531,29.25
13196,2021-04-26,上海青,4.06,6.0,13.061,14.43
13198,2021-04-26,云南油麦菜,4.38,7.0,6.361,12.81
13199,2021-04-26,云南生菜,4.24,7.0,12.941,15.25
13200,2021-04-26,净藕(1),7.2,10.0,9.751,5.54
13203,2021-04-26,圆茄子(2),4.01,6.6,0.882,6.71
13206,2021-04-26,奶白菜,1.4,2.0,8.639,15.68
13208,2021-04-26,娃娃菜,3.85,5.9,5.0,2.48
13217,2021-04-26,白玉菇(袋),2.9500000000000006,4.9,3.0,6.57
13218,2021-04-26,竹叶菜,4.21,5.0,21.104,13.62
13219,2021-04-26,紫茄子(2),4.67,7.0,6.547,6.07
13222,2021-04-26,红薯尖,10.0,16.0,3.412,8.42
13224,2021-04-26,芜湖青椒(1),3.79,6.0,40.089,5.7
13225,2021-04-26,苋菜,2.96,4.0,16.483,18.52
13226,2021-04-26,菜心,3.4,6.0,4.213,13.699999999999998
13227,2021-04-26,菠菜,3.44,6.0,3.579,18.51
13230,2021-04-26,螺丝椒,5.6,8.0,8.31,10.18
13232,2021-04-26,西兰花,2.8,4.0,28.466,9.26
13238,2021-04-26,青茄子(1),4.19,8.0,0.99,5.01
13240,2021-04-26,高瓜(1),5.63,12.0,2.12,29.25
13243,2021-04-27,上海青,4.06,8.0,3.509,14.43
13245,2021-04-27,云南油麦菜,4.38,7.0,8.081,12.81
13246,2021-04-27,云南生菜,4.24,6.0,12.627,15.25
13247,2021-04-27,净藕(1),7.2,10.0,8.81,5.54
13250,2021-04-27,圆茄子(2),4.02,6.6,3.284,6.709999999999999
13253,2021-04-27,奶白菜,1.4,2.0,4.093,15.68
13261,2021-04-27,竹叶菜,4.38,6.0,13.027,13.62
13262,2021-04-27,紫茄子(2),4.65,7.0,17.323,6.07
13266,2021-04-27,红薯尖,10.0,16.0,2.053,8.42
13268,2021-04-27,芜湖青椒(1),4.0,6.0,33.231,5.7
13269,2021-04-27,苋菜,3.37,5.0,9.899,18.52
13270,2021-04-27,菜心,3.4,6.0,9.113,13.7
13271,2021-04-27,菠菜,3.3,6.0,4.682,18.51
13275,2021-04-27,螺丝椒,5.86,8.0,6.993,10.18
13276,2021-04-27,西兰花,3.05,4.0,19.977,9.26
13283,2021-04-27,青茄子(1),4.56,8.0,0.414,5.01
13284,2021-04-27,高瓜(1),6.66,12.0,0.317,29.25
13287,2021-04-28,上海青,4.06,8.0,3.02,14.429999999999998
13289,2021-04-28,云南油麦菜,4.37,7.0,9.071,12.81
13290,2021-04-28,云南生菜,4.24,6.0,13.426,15.25
13291,2021-04-28,净藕(1),7.2,10.0,5.982,5.54
13294,2021-04-28,圆茄子(2),4.2,6.6,0.866,6.71
13297,2021-04-28,奶白菜,1.4,2.0,8.438,15.68
13299,2021-04-28,娃娃菜,3.68,5.9,2.0,2.48
13307,2021-04-28,白玉菇(袋),2.91,5.900000000000001,3.0,6.57
13308,2021-04-28,竹叶菜,4.69,6.0,17.927,13.62
13309,2021-04-28,紫茄子(2),4.44,6.0,14.567,6.07
13312,2021-04-28,红薯尖,10.0,16.0,1.96,8.42
13314,2021-04-28,芜湖青椒(1),4.0,6.0,30.578,5.7
13315,2021-04-28,苋菜,3.44,6.0,2.223,18.52
13316,2021-04-28,菜心,3.4,6.0,3.144,13.7
13317,2021-04-28,菠菜,3.3,6.0,4.6000000000000005,18.51
13321,2021-04-28,螺丝椒,6.3,8.0,7.421,10.18
13323,2021-04-28,西兰花,3.46,5.6,14.877,9.26
13329,2021-04-28,青茄子(1),5.19,8.0,3.085,5.01
13331,2021-04-28,高瓜(1),6.85,12.0,1.377,29.25
13334,2021-04-29,上海青,4.06,7.0,1.404,14.43
13336,2021-04-29,云南油麦菜,4.34,7.0,6.061,12.81
13337,2021-04-29,云南生菜,4.24,6.0,19.366,15.25
13338,2021-04-29,净藕(1),7.2,10.0,6.564,5.54
13341,2021-04-29,圆茄子(2),4.2,6.6,0.502,6.71
13344,2021-04-29,奶白菜,1.4,2.0,9.601,15.68
13345,2021-04-29,娃娃菜,3.5,5.9,2.0,2.48
13352,2021-04-29,白玉菇(袋),2.91,5.9,2.0,6.57
13353,2021-04-29,竹叶菜,4.87,7.0,5.516,13.62
13354,2021-04-29,紫茄子(2),4.44,6.0,7.056,6.070000000000001
13358,2021-04-29,红薯尖,10.0,16.0,2.372,8.42
13360,2021-04-29,芜湖青椒(1),4.1,6.0,36.559,5.7
13361,2021-04-29,苋菜,4.28,7.0,1.533,18.52
13362,2021-04-29,菜心,3.4,6.0,5.218,13.7
13363,2021-04-29,菠菜,3.29,6.0,3.595,18.51
13367,2021-04-29,螺丝椒,6.59,8.0,8.332,10.18
13368,2021-04-29,西兰花,3.93,5.6,16.221,9.26
13375,2021-04-29,青茄子(1),5.54,8.0,1.843,5.01
13377,2021-04-29,高瓜(1),6.8,12.0,2.254,29.25
13381,2021-04-30,上海青,4.06,6.0,1.388,14.43
13382,2021-04-30,云南油麦菜,4.35,7.0,5.23,12.81
13383,2021-04-30,云南生菜,4.12,6.0,23.345,15.25
13384,2021-04-30,净藕(1),7.2,10.0,12.828,5.54
13387,2021-04-30,圆茄子(2),4.2,6.6,0.851,6.71
13390,2021-04-30,奶白菜,1.4,2.0,20.461,15.679999999999998
13392,2021-04-30,娃娃菜,3.48,5.9,4.0,2.48
13401,2021-04-30,白玉菇(袋),2.68,5.9,4.0,6.57
13402,2021-04-30,竹叶菜,5.1,8.0,9.449,13.62
13403,2021-04-30,紫茄子(2),4.45,8.0,16.841,6.07
13406,2021-04-30,红薯尖,10.0,12.0,6.186,8.42
13408,2021-04-30,芜湖青椒(1),4.25,6.941176470588236,28.011,5.7
13409,2021-04-30,苋菜,4.41,7.0,4.055,18.52
13410,2021-04-30,菜心,3.3999999999999995,6.0,6.071,13.7
13411,2021-04-30,菠菜,3.4900000000000007,6.0,1.439,18.51
13415,2021-04-30,螺丝椒,6.45,9.0,11.417,10.179999999999998
13417,2021-04-30,西兰花,4.48,5.0,21.342,9.26
13423,2021-04-30,青茄子(1),5.66,9.0,1.369,5.01
13425,2021-04-30,高瓜(1),5.89,12.0,2.028,29.25
13428,2021-05-01,上海青,4.06,6.0,4.232,14.43
13430,2021-05-01,云南油麦菜,4.33,7.0,12.08,12.81
13431,2021-05-01,云南生菜,4.0,6.0,20.018,15.25
13432,2021-05-01,净藕(1),7.2,10.0,16.864,5.54
13434,2021-05-01,圆茄子(2),4.19,6.6,0.775,6.71
13437,2021-05-01,奶白菜,1.4,2.0,7.729,15.68
13439,2021-05-01,娃娃菜,3.43,5.9,8.0,2.48
13442,2021-05-01,木耳菜,6.19,12.0,2.73,7.61
13447,2021-05-01,白玉菇(袋),2.68,5.9,2.0,6.57
13448,2021-05-01,竹叶菜,5.93,8.0,15.24,13.62
13449,2021-05-01,紫茄子(2),4.58,8.0,12.004,6.07
13453,2021-05-01,红薯尖,9.08,12.0,5.852,8.42
13455,2021-05-01,芜湖青椒(1),4.47,7.0,51.77,5.7
13456,2021-05-01,苋菜,4.8,7.0,12.303,18.52
13457,2021-05-01,菜心,3.4,6.0,1.3050000000000002,13.699999999999998
13458,2021-05-01,菠菜,3.75,6.0,6.238,18.51
13461,2021-05-01,螺丝椒,6.4,10.0,9.26,10.18
13463,2021-05-01,西兰花,3.57,6.0,35.273,9.26
13469,2021-05-01,青茄子(1),4.92,8.0,2.155,5.01
13471,2021-05-01,高瓜(1),5.89,12.0,1.211,29.25
13474,2021-05-02,上海青,3.55,6.0,9.483,14.43
13476,2021-05-02,云南油麦菜,4.24,7.0,17.409,12.81
13477,2021-05-02,云南生菜,4.07,6.0,17.809,15.25
13478,2021-05-02,净藕(1),7.2,10.0,15.502,5.54
13481,2021-05-02,圆茄子(2),4.1,6.6,0.578,6.71
13484,2021-05-02,奶白菜,1.4,2.0,8.893,15.68
13485,2021-05-02,娃娃菜,3.4900000000000007,5.9,5.0,2.48
13488,2021-05-02,木耳菜,6.19,12.0,4.766,7.61
13493,2021-05-02,白玉菇(袋),2.81,5.900000000000001,6.0,6.57
13494,2021-05-02,竹叶菜,6.03,7.0,19.446,13.62
13495,2021-05-02,紫茄子(2),5.18,6.0,14.016,6.07
13498,2021-05-02,红薯尖,8.6,12.0,7.0120000000000005,8.42
13500,2021-05-02,芜湖青椒(1),4.46,7.0,48.895,5.7
13501,2021-05-02,苋菜,4.81,7.0,15.746,18.52
13502,2021-05-02,菜心,3.4,6.0,5.618,13.699999999999998
13503,2021-05-02,菠菜,3.84,6.0,6.506,18.51
